TripID,Type,Time,Uber_Dist,Tessie_Dist,Primary_Dist,Rider_Pay,Uber_Fee,Platform_Cut,Driver_Net,Sentiment,Method,Link,Notes
Te1f963fb,Private,13:09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,游릳,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_111923.jpg,
T2211da42,Uber,13:10,16.00,0.00,16.00,9.03,0.00,0.00,9.03,游릴,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_111721_Uber Driver.jpg,
Tbfc25025,Private,13:10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,游릳,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_111614_Uber Driver.jpg,
T06a7fccf,Uber,13:10,0.80,0.00,0.80,0.00,0.00,0.00,0.00,游릳,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_105357_Uber Driver.jpg,
T2e4e4a20,Uber,13:10,19.00,0.00,19.00,8.97,0.00,0.00,8.97,游릴,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_105312_Uber Driver.jpg,
T5616fb8a,Uber,13:10,12.00,0.00,12.00,9.27,0.00,0.00,9.27,游릴,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_104710_Uber Driver.jpg,
T2110ef68,Uber,13:10,12.00,0.00,12.00,9.27,0.00,0.00,9.27,游릴,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_104628_Uber Driver.jpg,
T8fb62f2d,Private,13:10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,游릳,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_103319_Uber Driver.jpg,
T0618d371,Uber,13:10,17.00,0.00,17.00,12.11,0.00,0.00,12.11,游릴,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_103017_Uber Driver.jpg,
T5826ffae,Uber,13:10,26.00,0.00,26.00,0.00,0.00,0.00,0.00,游릳,,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_102937_Uber Driver.jpg,
T98eee7f2,Private,13:10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,游릳,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_145731.jpg,
T62f95e32,Private,13:10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,游릳,Pending,https://summitstoreus23436.blob.core.windows.net/function-releases/Screenshot_20260116_145641.jpg,
